_id,name,email,password,__v
5f835102499c8a85d0180f22,jhon,103119100@nitt.edu,nitt123,0
5f835103499c8a85d0180f23,mary,103119110@nitt.edu,nitt123,0
5f835103499c8a85d0180f24,Ed,103119106@nitt.edu,nitt123,0
5f835103499c8a85d0180f25,mary,103119024@nitt.edu,nitt123,0
5f837027f8bf10ac91a011d9,jhon,103119100@nitt.edu,nitt123,0
5f837027f8bf10ac91a011da,mary,103119110@nitt.edu,nitt123,0
5f837027f8bf10ac91a011db,Ed,103119106@nitt.edu,nitt123,0
5f837027f8bf10ac91a011dc,mary,103119024@nitt.edu,nitt123,0
5f83702e28f052ad119a1d0a,jhon,103119100@nitt.edu,nitt123,0
5f83702e28f052ad119a1d0b,mary,103119110@nitt.edu,nitt123,0
5f83702e28f052ad119a1d0c,Ed,103119106@nitt.edu,nitt123,0
5f83702e28f052ad119a1d0d,mary,103119024@nitt.edu,nitt123,0
